Term	Definition	Topic
Broadcast 	 communication where pieces of data are sent from sender to receiver.	19.1 Algorithms
buffer	Where information loaded from the internet is temporarily stored in this cache, so that a slow connection doesn't cause buffering of data, commonly used for videos 	19.1 Algorithms
Burst time 	 the time when a process has control of the CPU .	19.1 Algorithms
Bus network topology 	 network using single central cable in which all devices are connected to this cable; data can only travel in one direction and only one device is allowed to transmit at a time.	19.1 Algorithms
By reference 	 a method of passing a parameter to a procedure in which the value of the variable can be changed by the procedure.	19.1 Algorithms
Least recently used (LRU) page replacement 	 page replacement algorithm in which the page which has not been used for the longest time is replaced.	19.1 Algorithms
Segment map table 	 table containing the segment number, segment size and corresponding memory location in physical memory; it maps logical memory segments to physical memory.	19.1 Algorithms
Structure chart 	 a modelling tool used to decompose a problem into a set of sub	19.1 Algorithms
Variable 	 a named value that can change during the execution of a program.	19.1 Algorithms
Base case 	a terminating solution to a process that is not recursive.	19.2 Recursion
General case 	 a solution to a process that is recursively defined.	19.2 Recursion
Recursion	See recursion (The repeated application of a recursive procedure or definition.)	19.2 Recursion
(W)AP 	 (wireless) access point which allows a device to access a LAN without a wired connection.	2.1 Networks including the internet
1Pv4 	 IP addr ess format which uses 32 bits, such as 200.21.100.6.	2.1 Networks including the internet
1Pv6 	Newer IP address format which uses 128 bits, such as A8F0:7FFF:FO F1: F000:3 DDO : 256 A: 22FF: AAOO.	2.1 Networks including the internet
Wi-FI	wireless connectivity that uses radio waves & microwaves.	2.1 Networks including the internet
ARPAnet 	 Advanced Research Projects Agency Network.	2.1 Networks including the internet
Asynchronous serial data transmission 	 serial refers to a single wire being used to transmit bits of data one after the other; asynchronous refers to a sender using its own clock/ timer device rather sharing the same clock/timer with the recipient device.	2.1 Networks including the internet
Attenuation	deterioration of signal	2.1 Networks including the internet
Bidirectional 	used to describe a bus in which bits can travel in both directions.	2.1 Networks including the internet
CIDR	Classless Inter-Domain Routing, sometimes called supernetting is a way to allow more flexible allocation of Internet Protocol (IP) addresses than was possible with the original system of IP address classes. 	2.1 Networks including the internet
Classless inter-domain routing (CIDR)	increases IPv4 flexibility by adding a suffix to the IP address, such as 200.21.100.6/18.	2.1 Networks including the internet
Client side scripting 	When the code for the web page is processed on the users machine itself 	2.1 Networks including the internet
Cloud storage 	 method of data storage where data is stored on off-site server 	2.1 Networks including the internet
Coaxial cable	Cable made up of central copper core, insulation, copper mesh and outer insulation	2.1 Networks including the internet
Collision 	 situation in which two messages/data from different sources are trying to transmit along the same data channel.	2.1 Networks including the internet
Conflict 	 situation in which two devices have the same IP address.	2.1 Networks including the internet
CSMA/ CD 	 carrier sense multiple access with collision detection; a method used to detect collisions and resolve the issue.	2.1 Networks including the internet
CSS	Cascading Style Sheets. Used to stylize websites.	2.1 Networks including the internet
DNS cache poisoning 	altering IP addresses on a DNS server by a 'pharmer' or hacker with the intention of redirecting a user to their fake website.	2.1 Networks including the internet
Domain name service (DNS) 	(also known as domain name system) gives domain names for internet hosts and is a system for finding IP addresses of a domain name.	2.1 Networks including the internet
Ethernet 	protocol IEEE 802.3 used by many wired LANs.	2.1 Networks including the internet
Experimental addresses 	240.0.0.0 to 255.255.255.254 are listed as reserved	2.1 Networks including the internet
Fibre-optic	A fiber optic cable is a network cable that contains strands of glass fibers inside an insulated casing. They're designed for long distance, very high-performance data networking, and telecommunications.	2.1 Networks including the internet
File server 	a server on a network where central files and other data are stored; they can be accessed by a user logged onto the network.	2.1 Networks including the internet
FTP	A file transfer protocol used to transfer files from a host to clients over TCP based networks	2.1 Networks including the internet
FTP 	 file transfer protocol.	2.1 Networks including the internet
Gate way 	device that connects LANs which use different protocols.	2.1 Networks including the internet
Gateway	a device that connects networks of different underlying technologies	2.1 Networks including the internet
GEO	These satellites have almost a distance of 36,000 km to the earth and need are geo-stationary.	2.1 Networks including the internet
Hashing algorithm (cryptography) 	 a function which converts a data string into a numeric string which is used in cryptography.	2.1 Networks including the internet
High bandwidth digital copy protection (HDCP) 		2.1 Networks including the internet
Hop number/hopping 	 number in the packet header used to stop packets which never reach their destination from 'clogging up' routes.	2.1 Networks including the internet
Host 	 a computer or device that can communicate with other computers or devices on a network.	2.1 Networks including the internet
HTML	Hypertext Markup Lang. Used to give websites a visual structure.	2.1 Networks including the internet
HTTP	A Hypertext transfer protocol is protocol to exchange or transfer hypertext	2.1 Networks including the internet
Hub 	 hardware used to connect together a number of devices to form a LAN; directs incoming data packets to all devices on the network (LAN).	2.1 Networks including the internet
Hybrid network 	 network made up of a combination of other network topologies .	2.1 Networks including the internet
ICMP	An error reporting protocol that creates and sends the message to the Source IP when IP packet cannot be sent.	2.1 Networks including the internet
IGMP	The Internet Group Management Protocol is a communications protocol used by hosts and adjacent routers on IPv4 networks to establish multicast group memberships	2.1 Networks including the internet
IMAP 	 internet message access protocol.	2.1 Networks including the internet
Internet	A global system of interconnected computer networks that use TCP/IP to link several billions of devices	2.1 Networks including the internet
Internet 	 massive network of networks, made up of computers and other electronic devices; uses TCP/IP communication protocols.	2.1 Networks including the internet
Internet protocol (IP) 	 uses 1Pv4 or 1Pv6 to give addresses to devices connected to the internet.	2.1 Networks including the internet
Internet service provider {ISP) 	 company which allows a user to connect to the internet; they will usually charge a monthly fee for the service they provide.	2.1 Networks including the internet
IP address	An internet protocol where each computer is uniquely identified in internet	2.1 Networks including the internet
IPv4	uses a 32-bit address scheme allowing for a total of 2^32 addresses (just over 4 billion addresses).	2.1 Networks including the internet
IPv6 	are 128-bit IP address written in hexadecimal and separated by colons. 	2.1 Networks including the internet
ISP	Internet Service Provider such as TM or TIME	2.1 Networks including the internet
Javascript	an object-oriented computer programming language commonly used to create interactive effects within web browsers.	2.1 Networks including the internet
LAN 	local area network (network covering a small area such as a single building).	2.1 Networks including the internet
Latency 	 the lag in a system; for exa mp le, the time to find a track on a hard disk, which depend s on the time taken for the disk to rotate around to its read	2.1 Networks including the internet
LEO	operate at a distance of about 500-1500 km.	2.1 Networks including the internet
Link-Local address 	 169.254.0.0 to 169.254.255.255 (169.254.0.0/16) addresses can be automatically assigned to the local host	2.1 Networks including the internet
MAN 	metropolitan area network (network which is larger than a LAN but smaller than a WAN; can cover several buildings in a single city, such as a university campus).	2.1 Networks including the internet
Massively parallel computers 	 the linking together of several computers effectively forming one machine with thousands of processors.	2.1 Networks including the internet
Mesh network topology 	 interlinked computers/devices, which use routing logic so data packets are sent from sending stations to receiving stations only by the shortest route.	2.1 Networks including the internet
Modem 	 modulator demodulator; device which converts digital data to analogue data (to be sent down a telephone wire); conversely it also converts analogue data to digital data (which a computer can process).	2.1 Networks including the internet
Network	a collection of computers, servers, mainframes, network devices, peripherals, or other devices connected to one another to allow the sharing of data.	2.1 Networks including the internet
Network and Broadcast addresses 	 within each network the first and last addresses cannot be assigned to hosts	2.1 Networks including the internet
NIC 	 network interface card; these cards allow devices to connect to a network/internet (usually associated with a MAC address set at the factory).	2.1 Networks including the internet
Node 	 device connected to a network (it can be a computer, storage device or peripheral device).	2.1 Networks including the internet
On-demand bit-streaming	A video file is stored on a server and transmitted to a clients computer	2.1 Networks including the internet
Packet 	 a message/data is split up into smaller groups of bits for transmission over a network.	2.1 Networks including the internet
Packet switching 	method of transmission where a message is broken into packets which can be sent along paths independently from each other.	2.1 Networks including the internet
PAN 	 network that is centred around a person or their workspace.	2.1 Networks including the internet
Peer 	 a client who is part of a peer	2.1 Networks including the internet
Peer-to-peer network	A network of computers configured to allow certain files and folders to be shared with everyone or with selected users.	2.1 Networks including the internet
POP3	A client/server protocol in which e-mails are received and held for you by your Internet server.	2.1 Networks including the internet
Private IP address 	 an IP address reserved for internal network use behind a router.	2.1 Networks including the internet
Protocol	A set of rules or procedures for transmitting data between electronic devices, such as computers.	2.1 Networks including the internet
Public IP address 	an IP address allocated by the user's ISP to identify the location of their device on the internet.	2.1 Networks including the internet
Public switched telephone network (PSTN) 	 network used by traditional telephones when making calls or when sending faxes. '	2.1 Networks including the internet
Pull protocol 	 protocol used when receiving emails, in which the client periodically connects to a server, checks for and downloads new emails from a server and then closes the connection .	2.1 Networks including the internet
Push protocol 	 protocol used when sending emails, in which the client opens the connection to the server and keeps the connection active all the time, then uploads new emails to the server.	2.1 Networks including the internet
Repeater 	 device used to boost a signal on both wired and wireless networks.	2.1 Networks including the internet
Repeating hubs 	 network devices which are a hybrid of hub and repeater unit.	2.1 Networks including the internet
Router 	 device which enables data packets to be routed between different networks (for example, can join LA Ns to form a WAN).	2.1 Networks including the internet
Seed 	 a peer that has downloaded a file (or pieces of a file) and has then made it available to other peers in the swarm.	2.1 Networks including the internet
Server side scripting 	A technique used in web development which involves employing scripts on a web server which produce a response customised for each client's request	2.1 Networks including the internet
Star network topology 	 a network that uses a central hub/ switch with all devices connected to this central hub/switch; all data packets are directed through this central hub/switch.	2.1 Networks including the internet
Stream cipher 	the encryption of bits in sequence as they arrive at the encryption algorithm.	2.1 Networks including the internet
Sub-netting	Subnetting allows you to create multiple logical networks that exist within a single Class A, B, or C network.	2.1 Networks including the internet
TCP/IP	The basic protocol of the Internet	2.1 Networks including the internet
TEST-NET addresses 	 192.0.2.0 to 192.0.2.255 (192.0.2.0/24) set aside for teaching and learning purposes, used in documentation and network examples	2.1 Networks including the internet
Thick client 	 device which can work both off Line and on line and is able to do some processing even if not connected to a network/internet.	2.1 Networks including the internet
Topology	Schematic description of the arrangement of a network, including its nodes and connecting lines	2.1 Networks including the internet
Twisted pair cable	is a type of cable made by putting two separate insulated wires together in a twisted pattern and running them parallel to each other. This type of cable is widely used in different kinds of data and voice infrastructures.	2.1 Networks including the internet
Uniform resource locator (URL) 	 specifies location of a web page (for example, www.hoddereducation. co. uk) .	2.1 Networks including the internet
URL	URL stands for Universal Resource Locator. It’s a way of accessing the Internet.	2.1 Networks including the internet
WAN 	 wide area network (network covering a very large geographical a rea).	2.1 Networks including the internet
Web addresses	interprets web pages sent to a user's computer so that documents and multimedia can be read or watched/ listened to.	2.1 Networks including the internet
WLAN 	 wireless LAN.	2.1 Networks including the internet
WNIC 	 wireless network interface cards/controllers.	2.1 Networks including the internet
WPAN 	wireless personal area net work; a local wireless network which connects together devices in very close proximity (such as in a user's house); typical devices would be a laptop, smart phone, tablet and printer.	2.1 Networks including the internet
www	is a network of online content that is formatted in HTML and accessed via HTTP. The term refers to all the interlinked HTML pages that can be accessed over the Internet. 	2.1 Networks including the internet
Class	a template defining the methods and data of a certain type of object.	20.1 Programming Paradigms
Class variable 	 a single copy of this data exists across all objects of a class	20.1 Programming Paradigms
Containment (aggregation) 	 process by which one class can contain other classes.	20.1 Programming Paradigms
Debugging 	 the process of finding logic errors in a computer program by running or tracing the program.	20.1 Programming Paradigms
Declarative programming 	statements of facts and rules together with a mechanism for setting goals in the form of a query.	20.1 Programming Paradigms
Dictionary 	 an abstract data type that consists of pairs, a key and a value, in which the key is used to find the value.	20.1 Programming Paradigms
Fact 	a 'thing' that is known.	20.1 Programming Paradigms
Getter 	 a method whose purpose it is to get a value from within an object	20.1 Programming Paradigms
Getter 	 a method that gets the value of a property.	20.1 Programming Paradigms
Inherit 	 a class that inherits from another class is able to use all of the attributes and methods from that class	20.1 Programming Paradigms
JavaScript 	object-orientated (or scripting) programming language used mainly on the web; used to enhance HTML pages.	20.1 Programming Paradigms
Method 	 a programmed procedure that is defined as part of a class.	20.1 Programming Paradigms
Object oriented programming (OOP) 	a programming methodology that uses self-contained objects, which contain programming statements (methods) and data, and which communicate with each other.	20.1 Programming Paradigms
OR	OR represented by + in boolean logic	20.1 Programming Paradigms
Polymorphism 	Polymorphism is the ability of an object to take on many forms. The most common use of polymorphism in OOP occurs when a parent class reference is used to refer to a child class object. 	20.1 Programming Paradigms
Positive feedback 	 the output from a process which influences the next input value to the process.	20.1 Programming Paradigms
Programming paradigm 	 a set of programming concepts.	20.1 Programming Paradigms
Setter	a method whose purpose it is to set a value within an object	20.1 Programming Paradigms
Subclass 	 inherits the properties of another class and adds some specialised methods of its own	20.1 Programming Paradigms
Quantum 	a fixed time slice allocated to a process.	20.2 File Processing and Exception Handling
Read	 file access mode in which data can be read from a file.	20.2 File Processing and Exception Handling
Run length encoding (RLE) 	a lossless file compression technique used to reduce text and photo files in particular.	20.2 File Processing and Exception Handling
Second normal form (2NF) 	the status of a relational database in which entities are in lNF and any non-key attributes depend upon the primary key.	20.2 File Processing and Exception Handling
Binder 3D printing 	3D printing method that uses a two-stage pass; the first stage uses dry powder and the second stage uses a binding agent	3.1 Computers and their components
Cluster 	 a number of computers (containing SIMD processors) networked together.	3.1 Computers and their components
CMOS 	complementary metal-oxide semiconductor.	3.1 Computers and their components
Digest 	-a fixed-size numeric representation of the contents of a message produced from a hashing algorithm; this can be encrypted to form a digital signature.	3.1 Computers and their components
Digital to analogue converter (DAC) 	 needed to convert digital data into electric currents that can drive motors, actuators and relays, for example.	3.1 Computers and their components
Direct 3D printing 	 3D printing technique where print head moves in the x, y and z directions. Layers of melted material are built up using nozzles like an inkjet printer.	3.1 Computers and their components
Direct memory access (OMA) controller 	device that allows certain hardware to access RAM independently of the CPU.	3.1 Computers and their components
Dirty 	 The term used to describe a page in memory that has been modified.	3.1 Computers and their components
Dual core 	a CPU containing two cores.	3.1 Computers and their components
Dynamic link file (DLL) 	a library routine that can be linked to another program only at the run time stage.	3.1 Computers and their components
Dynamic RAM (DRAM) 	type of RAM chip that needs to be constantly refreshed.	3.1 Computers and their components
Electronically erasable programmable read-only memory (EEPROM)	a read-only (ROM) chip that can be modified by the user which can then be erased and written to repeatedly using pulsed voltages.	3.1 Computers and their components
Flash memory 	a type of EEPROM, particularly suited to use in drives such as SSDs, memory cards and memory sticks.	3.1 Computers and their components
Formatting	Disk formatting is the configuring process of a data storage media such as a hard disk drive for initial usage.Any existing files on the drive would be erased with disk formatting.	3.1 Computers and their components
GUI 	 graphical user interface.	3.1 Computers and their components
Hardware management 	part of the operating system that controls all input/output devices connected to a computer (made up of sub-management systems such as printer management, secondary storage management, and so on).	3.1 Computers and their components
High definition multimedia interface (HDMI) 	a standard for connecting high-definition video devices	3.1 Computers and their components
Interrupt service routine (ISR) or interrupt handler 	software which handles interrupt requests (such as 'printer out of paper') and sends the request to the CPU for processing.	3.1 Computers and their components
Leech 	 a peer with negative feedback from swarm members.	3.1 Computers and their components
Low level scheduling 	method by which a system assigns a processor to a task or process based on the priority level.	3.1 Computers and their components
Memory dump 	 contents of a computer memory output to screen or printer.	3.1 Computers and their components
Memory optimisation 	function of memory management that determines how memory is allocated and deallocated.	3.1 Computers and their components
MIMD 	multiple instruction multiple data, computer architecture which uses many processors, each of which can use a separate data source.	3.1 Computers and their components
Monitor 	 to automatically take readings from a device.	3.1 Computers and their components
Operating system 	software that provides an environment in which applications can run and provides an interface between hardware and human operators.	3.1 Computers and their components
Optical storage 	 CDs, DVDs and Blu	3.1 Computers and their components
Organic LED (OLED) 	 uses movement of electrons between cathode and anode to produce an on	3.1 Computers and their components
Paging 	 form of.memory management which divides up physical memory and logical memory into fixed pages	3.1 Computers and their components
Physical memory 	 main/primary RAM memory.	3.1 Computers and their components
Pinching and rotating 	 actions by fingers on a touch screen to carry out tasks such as move, enlarge, reduce, and so on.	3.1 Computers and their components
Port 	 external connection to a computer which allows it to communicate with various peripheral devices; a number of different port technologies exist.	3.1 Computers and their components
Primary Storage	This is RAM	3.1 Computers and their components
Program counter (PC) 	 a register used in a computer to store the address of the instruction which is currently being executed.	3.1 Computers and their components
PSTN	Public Switched Telephone Network consists of telephone lines, fiber optic cables, microwave transmission links, cellular networks, communications satellites, and undersea telephone cables, all interconnected by switching centers, thus allowing most telephones to communicate with each other.	3.1 Computers and their components
RAM 	Random access memory - Computer storage memory which is volatile. It allows recent application data to be saved while being  used for speed 	3.1 Computers and their components
Random access 	When disc is read and written to anywhere on the file 	3.1 Computers and their components
Read only memory (ROM) 	primary memory unit that can only be read from	3.1 Computers and their components
ROM	Read only memory - Computer hardware that stores programs or data that cannot be added to, modified, or deleted	3.1 Computers and their components
Scheduling 	 process manager which handles the removal of running programs from the CPU and the selection of new processes.	3.1 Computers and their components
Secondary Storage	Hard Disks, Optical Drives and removable memory	3.1 Computers and their components
Sensor 	 input device that reads physical data from its surroundings.	3.1 Computers and their components
Solid state drive (SSD} 	 storage media with no moving parts that relies on movement of electrons.	3.1 Computers and their components
Spread spectrum technology 	 wideband radio frequency with a range of 30 to 50 metres.	3.1 Computers and their components
SRAM	Static Random Access Memory	3.1 Computers and their components
Static RAM (SRAM) 	 type of RAM chip that uses flip	3.1 Computers and their components
Status register 	 used when an instruction requires some form of arithmetic or Logical processing .	3.1 Computers and their components
Super computer 	 a powerful mainframe computer.	3.1 Computers and their components
Switch	is a computer networking device that connects devices together on a computer network by using packet switching to receive, process, and forward data to the destination device. There's one in S1.	3.1 Computers and their components
Thin client 	 device that needs access to the internet for it to work; it depends on a more powerful computer for processing.	3.1 Computers and their components
Touch screen 	 screen on which the touch of a finger or stylus allows selection or manipulation of a screen image; they usually use capacitive or resistive technology.	3.1 Computers and their components
Twisted pair cable 	 type of cable in which two wires of a single circuit are twisted together; several t wisted pairs make up a single cable.	3.1 Computers and their components
Utility program 	 parts of the operating system which carry out certain functions , such as virus checking, defragmentation or hard disk formatting .	3.1 Computers and their components
Video Graphics Array (VGA) 	 type of port connecting devices to a computer.	3.1 Computers and their components
Virtual reality headset 	 apparatus worn on the head that covers the eyes like a pair of goggles; it gives the user the 'feeling of being t here' by immersing them totally in the virtual reality experience.	3.1 Computers and their components
Arithmetic Logic Unit	logic unit (ALU) 	3.2 Logic Gates and Logic Circuits
Karnaugh map	A diagram set to minimize Boolean expressions without having to use Boolean algebra theorems and equation manipulations	3.2 Logic Gates and Logic Circuits
Logic circuit 	 formed from a combination of logic gates and designed to carry out a particular task; the output from a logic circuit will be O or 1.	3.2 Logic Gates and Logic Circuits
Logic gate	Basic digital element for building a circuit, 1 is on and 0 is off	3.2 Logic Gates and Logic Circuits
Logic gates 	 electronic circuits which rely on 'o n/o ff' logic; the most common ones are NOT, AND, OR, NAND, NOR and XOR.	3.2 Logic Gates and Logic Circuits
Mask 	 a number that is used with the logical operators AND, OR or XOR to identify, remove or set a single bit or group of bits in an address or register.	3.2 Logic Gates and Logic Circuits
Sequential circuit 	 circuit in which the output depends on input values produced from previous output values.	3.2 Logic Gates and Logic Circuits
Truth table 	 a method of checking the output from a logic	3.2 Logic Gates and Logic Circuits
Accumulator	A general purpose register that stores a value before and after the execution of an instruction by the ALU	4.1 Central Processing Unit (CPU) Architecture
Accumulator 	 temporary general purpose register which stores numerical values at any part of a given operation.	4.1 Central Processing Unit (CPU) Architecture
Address bus 	 carries the addresses throughout the computer system.	4.1 Central Processing Unit (CPU) Architecture
Clock cycle 	 clock speeds are measured in terms of GHz; this is the vibrational frequency of the clock which sends out pulses along the control bus; a 3.5 GHZ clock cycle means 3.5 billion clock cycles a second.	4.1 Central Processing Unit (CPU) Architecture
Context switching 	 procedure by which, when the next process takes control of the CPU, its previous state is reinstated or restored.	4.1 Central Processing Unit (CPU) Architecture
CPU	Central processing unit -  Process all the instructions in the computer by doing basic arithmetic 	4.1 Central Processing Unit (CPU) Architecture
Data Bus	A component that carries data to and from the processor allows data to be carried from processor to memory (and vice versa) or to and from input/output devices	4.1 Central Processing Unit (CPU) Architecture
Dijkstra's algorithm 	 an algorithm that finds the shortest path between two nodes or vertices in a graph/ network.	4.1 Central Processing Unit (CPU) Architecture
Direct access 	 a method of file access in which a record can be physically found in a file without physically reading other records.	4.1 Central Processing Unit (CPU) Architecture
Function 	 a set of statements that can be grouped together and easily called in a program whenever required, rather than repeating all of the statements each time. Unlike a procedure, a function always returns a value.	4.1 Central Processing Unit (CPU) Architecture
Immediate access store {IAS) 	 holds all data and program s needed to be accessed by the control un it .	4.1 Central Processing Unit (CPU) Architecture
Instruction 	a single operation performed by a CPU.	4.1 Central Processing Unit (CPU) Architecture
Instruction set 	 the complete set of machine code instructions used by a CPU .	4.1 Central Processing Unit (CPU) Architecture
Interrupt dispatch table {IDT) 	 data structure used to implement a n int err upt vector table.	4.1 Central Processing Unit (CPU) Architecture
Interrupt priority 	 all interrupts are given a priority so that the processor kn ows wh ich need to be serviced first and	4.1 Central Processing Unit (CPU) Architecture
Interrupt priority levels {IPL) 	 values given to interrupts based on val ues O to 31.	4.1 Central Processing Unit (CPU) Architecture
Interrupts	 A signal that gets the attention of the CPU and is usually generated when I/O is required.	4.1 Central Processing Unit (CPU) Architecture
Memory cache 	 high speed memory external to processor which stores data which the processor will need again.	4.1 Central Processing Unit (CPU) Architecture
MISD 	 multiple instruction single data, computer architecture which uses many processors but the same shared data source.	4.1 Central Processing Unit (CPU) Architecture
Optimisation (memory management) 	 function of memory management deciding which processes should be in main memory and where they should be stored.	4.1 Central Processing Unit (CPU) Architecture
Overflow 	 the result of carrying out a calculation which produces a value too large for the computer's allocated word size.	4.1 Central Processing Unit (CPU) Architecture
Process 	 a program that has started to be executed.	4.1 Central Processing Unit (CPU) Architecture
Process control block (PCB) 	 data structure which contains all the data needed for a process to run.	4.1 Central Processing Unit (CPU) Architecture
Programmable ROM (PROM) 	 type of ROM chip that can be programmed once.	4.1 Central Processing Unit (CPU) Architecture
Quad core 	 a CPU containing four cores.	4.1 Central Processing Unit (CPU) Architecture
Register 	 temporary component in the processor which can be general or specific in its use; holds data or instructions as part of the fetch	4.1 Central Processing Unit (CPU) Architecture
Register Transfer Notation (RTN) 	 short hand notation to show movement of data and instructions in a processor, can be used to represent the operation of the fetch	4.1 Central Processing Unit (CPU) Architecture
Server	CPUs which perform backend tasks, such as controlling printers, managing information, running databases and so on	4.1 Central Processing Unit (CPU) Architecture
SIMD 	 single instruction multiple data, computer architecture which uses many processors and different data inputs.	4.1 Central Processing Unit (CPU) Architecture
Star Network	Topology in a local area network (LAN) in which all nodes (workstations or other devices) are directly connected to a common central computer. 	4.1 Central Processing Unit (CPU) Architecture
System clock 	 produces timing signals on the control bus to ensure synchronisation takes place.	4.1 Central Processing Unit (CPU) Architecture
Unidirectional 	 used to describe a bus in which bits can travel in one direction only.	4.1 Central Processing Unit (CPU) Architecture
USB (Universal Serial Bus)	A port that can be used to attach peripherals	4.1 Central Processing Unit (CPU) Architecture
Absolute addressing 	 mode of addressing in which the contents of the memory location in the operand are used.	4.2 Assembly Language
Addressing modes 	 different methods of using the operand part of a machine code instruction as a memory address.	4.2 Assembly Language
Assembler 	 a computer program that translates programming code written in assembly language into machine code; assemblers can be one pass or two pass.	4.2 Assembly Language
Assembly language 	 a low	4.2 Assembly Language
Compiler 	 a computer program that translates a source program written in a high level language to machine code or p-code, object code.	4.2 Assembly Language
Current instruction register (CIR) 	 this is a register used to contain the instruction which is currently being executed or decoded.	4.2 Assembly Language
Direct addressing 	 mode of addressing in which the contents of the memory location in the operand are used; same as absolute addressing .	4.2 Assembly Language
General case	a definition of a recursive function in terms of itself (The case for which the  solution is expressed in terms of a smaller version of itself)	4.2 Assembly Language
Indexed addressing 	 mode of addressing in which the cont ent s of the memory location found by adding the contents of the index register (IR) to the address of the memory location in the operand are used.	4.2 Assembly Language
Indirect addressing 	 mode of addressing in which the contents of the contents of the memory location in the operand are used.	4.2 Assembly Language
Low level programming 	A low-level programming language is a programming language that provides little or no abstraction from a computer's instruction set architecture—commands or functions in the language map closely to processor instructions. Generally, this refers to either machine code or assembly language.	4.2 Assembly Language
Machine code 	 the programming language that the CPU uses.	4.2 Assembly Language
Machine language	Language which the machine can understand, direct downgrade from assembly language	4.2 Assembly Language
Object code 	 a computer program after translation into machine code.	4.2 Assembly Language
Operand 	 the part of a machine code instruction that identifies the data to be used by the CPU.	4.2 Assembly Language
Recursive call 	A method call in which the method  being called is the same as the one making the call	4.2 Assembly Language
Relative addressing 	mode of addressing in which the memory address used is the current memory address added to the operand.	4.2 Assembly Language
Secondary Key	Secondary Key. An entity may have one or more choices for the primary key. Collectively these are known as candidate keys. One is selected as the primary key.	4.2 Assembly Language
Symbolic addressing 	mode of addressing used in assembly language programming; a Label is used instead of a value.	4.2 Assembly Language
Von Neumann architecture 	 computer architecture which introduced the concept of the stored program in the 194Os.	4.2 Assembly Language
Arithmetic shift 	 the sign of the number is preserved.	4.3 Bit manipulation
Cyclic shift 	 no bits are lost; bits shifted out of one end of the register are introduced at the other end of the register.	4.3 Bit manipulation
Gray codes 	ordering of binary numbers such that successive numbers differ by one bit value only, for example, 00 01 11 10.	4.3 Bit manipulation
Half adder circuit 	 carries out binary addition on two bits giving sum and carry.	4.3 Bit manipulation
Left shift 	 bits a re shifted to the left.	4.3 Bit manipulation
Metalanguage	A language used to describe and define another language. (E.G. English is its own Metalanguage, English grammar described in English.)	4.3 Bit manipulation
Parity bit 	an extra bit found at the end of a byte that is set to 1 if the parity of the byte needs to change to agree with sender/receiver parity protocol.	4.3 Bit manipulation
Parity block 	 horizontal and vertical parity check on a block of data being transferred.	4.3 Bit manipulation
Right shift 	bits are shifted to the right.	4.3 Bit manipulation
Set 	 a given list of unordered elements that can use set theory operations such as intersection and union.	4.3 Bit manipulation
Sign and magnitude 	binary number system where left-most bit is used to represent the sign (0 = + and 1 = - ); the remaining bits represent the binary value.	4.3 Bit manipulation
CLI 	 command line interface.	5.1 Operating System
Control 	 to automatically take readings from a device, then use the data from those readings to adjust the device.	5.1 Operating System
Control Bus	A bidirectional bus which transmits a signal from the control unit to any other system component	5.1 Operating System
Control unit 	 ensures synchronisation of data flow and programs throughout the computer by sending out control signals along the control bus.	5.1 Operating System
Core 	 a unit made up of ALU, control unit and registers which is part of a CPU; a CPU may contain a number of cores.	5.1 Operating System
Defragmentation	Reduce the fragmentation of (a file) by concatenating parts stored in separate locations on a disk.	5.1 Operating System
Disk compression 	software that compresses data before storage on an HOD .	5.1 Operating System
Disk content analysis software 	utility that checks disk drives for empty space and disk usage by reviewing files and folders.	5.1 Operating System
Disk defragmenter 	utility that checks disk drives for empty space and disk usage by reviewing files and folders.	5.1 Operating System
Disk thrashing 	problem resulting from use of virtual memory; excessive swapping in and out of virtual memory leads to	5.1 Operating System
HCI 	Human Computer Interface	5.1 Operating System
Host OS 	 an OS that controls the physical hardware.	5.1 Operating System
Immediate addressing 	 mode of addressing in wh ich the val ue of the operand only is used.	5.1 Operating System
Kernel 	 the core of an OS with control over process management , memory management , interrupt handling, device management and I/0 operations.	5.1 Operating System
Library program 	 a program stored in a library for future use by other programmers.	5.1 Operating System
Logical memory 	 the address space that an OS perceives to be main storage.	5.1 Operating System
Memory management 	 part of the operating system that controls the main memory.	5.1 Operating System
Multitasking	 function allowing a computer to process more than one task/process at a ti me.	5.1 Operating System
OS 	Operating system - s system software that manages computer hardware and software resources and provides common services for computer programs	5.1 Operating System
Process management 	 part of the operating system that involves allocation of resources and permits the sharing and exchange of data.	5.1 Operating System
Security management 	 part of the operating system that ensures the integrity, confidentiality and availability of data.	5.1 Operating System
Sequential file organisation 	 a method of file organisation in which records of data are physically stored in a file, one after another, in a given order.	5.1 Operating System
Virtual machine 	 an emulation of an existing computer system; a computer OS running within another computer's OS.	5.1 Operating System
Virtual memory 	 type of paging that gives the illusion of unlimited memory being available.	5.1 Operating System
Virtual memory systems 	 memory management (part of OS) that makes use of hardware and software to enable a computer to compensate for shortage of actual physical memory.	5.1 Operating System
Web browser 	 software that connects to DNS to locate IP	5.1 Operating System
World Wide Web (WWW ) 	 collection of multimedia web pages stored on a website; uses the internet to access information. from servers and other computers.	5.1 Operating System
Interpreter 	 a computer program that analyses and executes a program written in a high	5.2 Language Translators
Page fault 	 occurs when a new page is referred but is not yet in memory.	5.2 Language Translators
Python	A high level programming language that has wide use and general purpose	5.2 Language Translators
Single stepping 	 the practice of running a program one Line/ instruction at a time.	5.2 Language Translators
Syntax diagram 	 a graphical method of defining and showing the grammatical rules of a programming Language.	5.2 Language Translators
